,ALLSKY_SFC_SW_DWN,PRECTOTCORR,PS,RH2M,T2M,WS2M,PREC_lag1,PREC_lag2,PREC_lag4,PREC_lag8,T2M_lag1,T2M_lag2,T2M_lag4,T2M_lag8,RH2M_lag1,RH2M_lag2,RH2M_lag4,RH2M_lag8,PREC_roll4_mean,PREC_roll4_std,PREC_roll12_mean,PREC_roll12_std,T2M_roll4_mean,T2M_roll12_mean,week_sin,week_cos,None_lag1,D0_lag1,D1_lag1,D2_lag1,D3_lag1,D4_lag1,None_lag2,D0_lag2,D1_lag2,D2_lag2,D3_lag2,D4_lag2,heat_dry_stress
T2M_lag1,0.7790922302886194,0.4019003334338195,0.334700094249464,0.34185631527509497,0.9405791160673781,0.26348574154588394,0.3840959246691606,0.3951928062297537,0.42579599133165813,0.37902337486956494,1.0,0.9407213970474625,0.8682344299800316,0.606364882702144,0.3520705005282464,0.3171126479843997,0.2821136384322378,0.18403867165854168,0.5979989797188966,0.39629331705447574,0.6867164777957867,0.4123248432508298,0.958703319160803,0.7556792760126089,0.40724527635360236,0.8600924921041843,0.11969281193181872,0.11969281193181872,0.020495177094614903,0.004524104260767111,0.016099537410977624,0.014679027203648463,0.11147028641172972,0.11147028641172972,0.031102561271399272,0.0013845594880906487,0.005635206616860257,0.0025033728147581193,0.8717363208817701
T2M_lag2,0.7170062611574464,0.38397746618688344,0.2751652363259172,0.31829890290517726,0.903946662623636,0.2971122425082356,0.4004182019939749,0.3879154798800429,0.43723625373318464,0.38933496280753715,0.9407213970474625,1.0,0.9043696268015639,0.6823843656632184,0.3434331698709512,0.35137609267320785,0.2948280494921866,0.20563181048532497,0.5896468153003306,0.40090190802757625,0.718249131971165,0.4396141554800902,0.9775652756086772,0.8251087734991948,0.5093704745282944,0.803383510300183,0.12463304661048358,0.12463304661048358,0.012777603051036633,0.009608528308920247,0.0249569305630723,0.02807955840725859,0.11699478277357193,0.11699478277357193,0.021787119129346322,0.005088485900324814,0.016447162131663428,0.014862138165633032,0.8376642905332717
T2M_lag4,0.5700702370770768,0.31704043698673356,0.18543897952118824,0.2950750627571915,0.8171753486618626,0.34308620305367776,0.3453256612406859,0.3871346470401009,0.3863864689729345,0.42157074170262754,0.8682344299800316,0.9043696268015639,1.0,0.8184100215416513,0.31480037522368765,0.3181132408924267,0.3543893326556704,0.27616528134651064,0.5541103218688692,0.39862451622340583,0.744919813277357,0.4806397946095679,0.958922068352837,0.923687757284375,0.6896091061591839,0.654919638692842,0.14441169666408185,0.14441169666408185,0.01064197689717749,0.015008455926999977,0.04394680839327965,0.052493471007384405,0.13447011110028773,0.13447011110028775,0.0028277120000423494,0.012766534071604916,0.036251143264391834,0.04093036808117654,0.7642848384993328
T2M_lag8,0.1762064771182717,0.13321381218234654,0.040369606334964496,0.1781587833652224,0.517530462067035,0.38035915833768547,0.20088877732431623,0.25076036123904993,0.3185492932571363,0.3886747370188301,0.606364882702144,0.6823843656632184,0.8184100215416513,1.0,0.20251836227977985,0.23418924380917308,0.30266719753815674,0.36633630082060975,0.3870212055546944,0.30804294241374175,0.676009705019396,0.4878347673476833,0.7385015134464256,0.9522043190963596,0.9173917226384719,0.25573592443547516,0.15124607688436748,0.15124607688436748,0.050215674304537515,0.022646776836266442,0.06566773034065448,0.09487375890190693,0.1496733025696544,0.1496733025696544,0.03846539749741867,0.023385850857247193,0.0639054149926448,0.0871392131830757,0.4930494570806878
RH2M_lag1,0.2561718034479253,0.0005196958997252951,0.10154607520884783,0.6636066446296961,0.3182681954168511,0.049698307130384006,0.3506920382767733,0.20464916564458482,0.07845142112894728,0.050839748585954976,0.3520705005282464,0.3434331698709512,0.31480037522368765,0.20251836227977985,1.0,0.6639003051782564,0.44861526940189195,0.342986802874907,0.2661277373004616,0.2679660706190594,0.15355664007292605,0.29254553114742404,0.3433742557953923,0.2670312880202125,0.12029862774213756,0.26127578626827647,0.30086965998263804,0.30086965998263804,0.3341916914904623,0.2942539621628671,0.2140558617952161,0.1345296794057187,0.2643850214151103,0.2643850214151103,0.3033213114754267,0.2613690902790169,0.18537139557499407,0.12012360868974238,0.4901431741191897
RH2M_lag2,0.2157790454540596,0.0377111014540182,0.11597579744358302,0.5157173210452797,0.29060060005015875,0.023277734545817403,0.0020228307903377876,0.3474303945293614,0.09859032118245345,0.03891656595775022,0.3171126479843997,0.35137609267320785,0.3181132408924267,0.23418924380917308,0.6639003051782564,1.0,0.5159767496416628,0.35224465212192724,0.23866421567246873,0.2361646075893192,0.15081356343404692,0.2741286179537127,0.34312671395386063,0.2894325922162423,0.15110505807643113,0.2422422387012694,0.3512175331541224,0.3512175331541224,0.37268902927812436,0.32331854013295935,0.24831749617995438,0.15860688434291464,0.30174067545051503,0.3017406754505151,0.3345098657366129,0.29395769406422434,0.2139083341200787,0.1344808524778223,0.4223755206574772
RH2M_lag4,0.1856460551450738,0.06347938322827014,0.061323196861006464,0.4473521609492279,0.26450441122936774,0.04231278907472527,0.08790645448330349,0.04162103981726464,0.34663458380479406,0.043783335772869456,0.2821136384322378,0.2948280494921866,0.3543893326556704,0.30266719753815674,0.44861526940189195,0.5159767496416628,1.0,0.4539732425800867,0.07843088994456364,0.07370524609455198,0.11999567104066072,0.20293934043981374,0.3234012077850371,0.3243614413052153,0.2094893264639558,0.19793295089956273,0.3836331344159032,0.3836331344159032,0.3831715256347242,0.34858308617876893,0.29142956983086027,0.18615168622009148,0.38129469622367723,0.38129469622367723,0.3864930362178097,0.3379428217332944,0.2704896612313899,0.16969393332791904,0.3711654870697627
RH2M_lag8,0.04402379511328379,0.0298602539727938,0.012948322985253889,0.3072843789110983,0.15442584140006999,0.10706045268981015,0.012638457341216764,0.05926293683979613,0.06876679577230135,0.3336190911940158,0.18403867165854168,0.20563181048532497,0.27616528134651064,0.36633630082060975,0.342986802874907,0.35224465212192724,0.4539732425800867,1.0,0.07017366874309264,0.07657025916175846,0.060926896392829825,0.07533438665953043,0.23705738854037903,0.33474873577433434,0.28832860780815256,0.07809146930566002,0.3303328708075111,0.33033287080751117,0.3602363241721308,0.3644421641690357,0.3099005081832868,0.2251754400202988,0.3467341636587175,0.3467341636587175,0.3680896612691476,0.36577522266192497,0.30616858360660404,0.21907352479415004,0.23359840213842692
PREC_roll4_mean,0.5550763065588046,0.3720408516024629,0.23797661518459065,0.156863196096564,0.6101158994265353,0.2352244243806753,0.6655064137682313,0.7074907557790319,0.6666104581600549,0.26330708703307487,0.5979989797188966,0.5896468153003306,0.5541103218688692,0.3870212055546944,0.2661277373004616,0.23866421567246873,0.07843088994456364,0.07017366874309264,1.0,0.7738528093929007,0.739447128467925,0.6264553002902569,0.5970940922920398,0.4694949892362294,0.2247730600726276,0.6331473330055988,0.25727275906232494,0.25727275906232494,0.1440228909633367,0.13142973985796474,0.08832433372985557,0.052465693534641165,0.1926323776643128,0.1926323776643128,0.10208643981576883,0.1105582503586713,0.06967648101961116,0.048868264332692875,0.4187847146699992
PREC_roll4_std,0.3379991535071953,0.2722516714582957,0.175198238680481,0.16872749941795423,0.3960877913636781,0.1665975616840361,0.5225541919251905,0.5327569781011194,0.5330952396741823,0.25573887599015144,0.39629331705447574,0.40090190802757625,0.39862451622340583,0.30804294241374175,0.2679660706190594,0.2361646075893192,0.07370524609455198,0.07657025916175846,0.7738528093929007,1.0,0.5957413339652244,0.6402691298106495,0.4126984406346423,0.36074743387733477,0.20375778293859545,0.3952529110224947,0.20810001670333958,0.20810001670333964,0.11116217206220723,0.09264464667340351,0.048574505014216195,0.018301013491922695,0.1522636229360217,0.15226362293602175,0.07444628073096786,0.07757857223814274,0.03577224807321027,0.012404312831374342,0.258128550415833
